"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"128",="9910","豐泰","市","01/13","104","0","0","10","98.7","98.75","1,027","54.5","33.9","","","","","","","運動休閒","王建弘","陳昭吉"
"129",="5536","聖暉*","櫃","01/13","812","+21","+2.65","5","6.2","12.41","1,008","46.9","15.2","","","有","有","","","其他電子業","梁進利","賴銘崑&王俊盛"
"130",="00940","元大台灣價值高息","市","01/13","9.5","+0.03","+0.32","","","1,048","995","1.8","1.79","有","","","","","","國內成分股ETF","劉宗聖","陳沛宇"
"131",="1802","台玻","市","01/13","34.05","-0.8","-2.3","10","291","290.8","990","61.4","52.5","有","","有","","","","玻璃陶瓷","林伯豐","林伯實"
"132",="2105","正新","市","01/13","30.3","-0.2","-0.66","10","324","324.1","982","56.1","38.1","有","","有","有","","","橡膠工業","陳榮華","李進昌"
"133",="5269","祥碩","市","01/13","1300","-80","-5.8","10","7.48","7.48","972","21.8","13.1","有","","有","","","","半導體業","徐世昌","林哲偉"
"134","00761B","國泰A級公司債","櫃","01/13","35.42","+0.08","+0.23","","","273.6","969","7.2","7.12","","","","","","","債券ETF","李偉正","張雍川"
"135","00773B","中信優先金融債","櫃","01/13","37.03","+0.05","+0.14","","","260.4","964","7","6.96","","","","","","","債券ETF","陳金榮","陳正華"
"136",="2027","大成鋼","市","01/13","36.7","+0.25","+0.69","10","258","258.4","948","39.1","29.2","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
"137",="1503","士電","市","01/13","180","+4.5","+2.56","10","52.1","52.1","938","70.2","56.1","有","","有","","","","電機機械","許育瑞","郭約瑟、程相智"
"138",="9904","寶成","市","01/13","31","-1.2","-3.73","10","295","294.7","914","56.4","36","有","","有","","","","運動休閒","吳邦治","盧金柱"
"139",="6409","旭隼","市","01/13","1020","+15","+1.49","10","8.77","8.77","895","17.7","11.8","","","有","","","","其他電子業","謝卓明","謝卓明"
"140",="3105","穩懋","櫃","01/13","210","-23","-9.87","10","42.4","42.39","890","26.2","14.1","有","","有","","","","半導體業","陳進財","陳國樺"
"141",="6805","富世達","市","01/13","1295","-35","-2.63","10","6.86","6.86","888","24.6","2.18","","","有","","","","電子零組件業","黃祖模","徐安賜"
"142",="3324","雙鴻","櫃","01/13","951","-12","-1.25","10","9.28","9.31","885","27.4","20.7","有","","有","有","","","其他電子業","林育申","陳志偉"
"143",="6415","矽力*-KY","市","01/13","228","-8","-3.39","2.5","9.72","38.81","885","17.9","12.1","","","有","","","","半導體業","陳偉","游步東及謝兵"
"144",="2385","群光","市","01/13","116","-1","-0.85","10","76","76.01","882","42.9","27","有","","有","","","","電子零組件業","許崑泰","呂進宗"
"145","00746B","富邦A級公司債","櫃","01/13","36.63","+0.06","+0.16","","","237.7","871","7.5","7.42","","","","","","","債券ETF","黃昭棠","呂其倫"
"146",="3260","威剛","櫃","01/13","267","-7","-2.55","10","32.6","32.58","870","24.7","21.3","有","","有","有","","","半導體業","陳立白","陳玲娟"
"147",="2542","興富發","市","01/13","39.4","-0.3","-0.76","10","217","217.3","856","46","26.7","有","","有","有","","","建材營造業","曹淵博","范華軍"
"148",="4749","新應材","櫃","01/13","917","-13","-1.4","10","9.27","9.27","850","22.3","0.99","","","有","","","","半導體業","詹文雄","郭光埌"
"149",="6789","采鈺","市","01/13","266.5","-2","-0.74","10","31.8","31.83","848","22.1","3.54","","","有","","","","半導體業","關欣","關欣"
"150",="9945","潤泰新","市","01/13","29.55","+0.15","+0.51","10","284","284.4","840","48.3","33.7","有","","有","","","","其他業","簡滄圳","盧玉璜"
"151",="1229","聯華","市","01/13","46.5","+0.25","+0.54","10","180","179.6","835","70.5","49.5","","","","有","","","食品工業","苗豐強","林信宏"
"152",="00918","大華優利高填息30","市","01/13","22.86","+0.03","+0.13","","","364.1","832","3.2","3.14","","","","","","","國內成分股ETF","張文傑","王政修"
"153",="00881","國泰台灣科技龍頭","市","01/13","34.97","+0.22","+0.63","","","236.8","828","5.1","5.1","","","有","","","","國內成分股ETF","李偉正","張雍川"
"154",="2377","微星","市","01/13","98","-2","-2","10","84.5","84.49","828","39.4","27.2","有","有","有","","","","電腦及週邊設備業","徐祥","黃金請"
"155",="2354","鴻準","市","01/13","58.5","-1.1","-1.85","10","141","141.4","827","35.7","29.3","有","","有","","","","其他電子業","陳國寶","潘彥仁"
"156",="2838","聯邦銀","市","01/13","18.9","+0.05","+0.27","10","454","434.1","820","34","27.5","","","","","","有","銀行業","林鴻聯","許維文"
"157",="3189","景碩","市","01/13","176.5","-4.5","-2.49","10","45.7","45.68","806","25.3","21.2","有","","有","","","","半導體業","廖賜政","陳河旭"
"158",="2353","宏碁","市","01/13","26.35","-0.5","-1.86","10","305","304.8","803","49.5","29.3","有","有","有","","","","電腦及週邊設備業","陳俊聖","簡慧祥"
"159",="1795","美時","市","01/13","293","+7.5","+2.63","10","26.7","26.69","782","59.5","16","有","","有","","","","生技醫療業","Vilhelm Robert Wessman","Petar Antonov Vazharov"
"160",="6531","愛普*","市","01/13","476","+4","+0.85","5","8.13","16.25","773","14.4","9.62","","","有","","","","半導體業","陳文良","洪志勳"
"161",="2371","大同","市","01/13","35.65","+3.2","+9.86","10","215","215.1","767","75.8","63.9","有","","有","有","","","電機機械","張榮華","張松鑌"
"162",="1477","聚陽","市","01/13","308","-5.5","-1.75","10","24.7","24.67","760","36","23","有","","有","","","","紡織纖維","周理平","周心鵬"
"163",="5483","中美晶","櫃","01/13","117.5","-2","-1.67","10","64.1","64.12","753","45","24.9","有","","有","","","","半導體業","徐秀蘭","陳振乾"
"164",="6510","精測","櫃","01/13","2285","+110","+5.06","10","3.28","3.28","749","20.4","9.81","有","","有","有","","","半導體業","洪維國","黃水可"
"165",="1513","中興電","市","01/13","147","+1","+0.68","10","50.3","50.31","740","69.7","31.9","有","","有","有","","","電機機械","江馥年","郭慧娟"
"166",="0052","富邦科技","市","01/13","41.24","+0.34","+0.83","","","178.4","736","19.4","19.3","","","有","","","","國內成分股ETF","黃昭棠","呂其倫"
"167",="6691","洋基工程","市","01/13","604","+11","+1.85","10","12.1","12.15","734","45.5","4.03","","","有","","","","其他電子業","劉士源","林鴻忠"
"168",="6526","達發","市","01/13","433","-2.5","-0.57","10","16.8","16.75","725","24.4","2.24","有","","有","","","","半導體業","謝清江","謝清江"
"169",="2049","上銀","市","01/13","203","-2.5","-1.22","10","35.4","35.38","718","36.3","16.6","有","","有","","","","電機機械","卓文恒","蔡惠卿"
"170",="3005","神基","市","01/13","115.5","-1","-0.86","10","62.1","62.02","716","36.3","23.9","有","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
"171",="2646","星宇航空","市","01/13","23.25","-0.1","-0.43","10","301","300.9","700","7.7","1.22","","","有","","","","航運業","張國煒","翟健華"
"172",="1717","長興","市","01/13","59.5","+5.4","+9.98","10","117","117.2","697","61.1","31.8","有","","有","有","","","化學工業","高國倫","廖恒寧"
