"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"260",="6147","頎邦","櫃","01/13","56","+0.7","+1.27","10","74.5","74.46","417","28.5","24","有","","有","","","","半導體業","吳非艱","施政宏"
"261","00756B","群益投等新興公債","櫃","01/13","32.11","+0.04","+0.12","","","129.6","416","7.2","7.23","","","","","","","債券ETF","賴政昇","陳明輝"
"262",="8150","南茂","市","01/13","59","-0.2","-0.34","10","70.5","70.45","416","28.5","11.8","有","","有","","","","半導體業","鄭世杰","鄭世杰"
"263",="2421","建準","市","01/13","152","-3.5","-2.25","10","27.3","27.34","416","45.2","25.3","有","","有","","","","電子零組件業","洪慶昇","洪慶昇"
"264",="2312","金寶","市","01/13","27.55","+2.5","+9.98","10","151","150.5","415","52.7","36.2","有","","有","","","","其他電子業","許介立","陳威昌"
"265","2881B","富邦金乙特","市","01/13","61.9","0","0","","","66.67","413","","7.73","","","","","","","金控業","",""
"266","00631L","元大台灣50正2","市","01/13","410","+3.95","+0.97","","","10.06","412","11.2","11.2","","","有","","","","槓桿及反向型ETF","劉宗聖","陳沛宇"
"267",="3030","德律","市","01/13","174","-2.5","-1.42","10","23.6","23.62","411","36.8","24.8","","","有","","","","其他電子業","陳玠源","陳玠源"
"268",="3680","家登","櫃","01/13","425.5","+0.5","+0.12","10","9.6","9.6","409","27.8","14.4","有","","有","有","","","半導體業","邱銘乾","林添瑞"
"269",="00692","富邦公司治理","市","01/13","61.55","+0.3","+0.49","","","66.18","407","8.7","8.66","","","","","","","國內成分股ETF","黃昭棠","呂其倫"
"270","00953B","群益優選非投等債","市","01/13","9.8","+0.01","+0.1","","","414.7","406","1.4","1.4","","","","","","","債券ETF","賴政昇","陳明輝"
"271",="8112","至上","市","01/13","77.2","-1.8","-2.28","10","55.5","52.53","406","38.9","21.9","有","","有","有","","有","電子通路業","葛均","葛均"
"272",="8110","華東","市","01/13","78","+3.2","+4.28","10","51.8","51.77","404","30.8","19.4","","","有","","","","半導體業","焦佑衡","于鴻祺"
"273",="2467","志聖","市","01/13","256.5","+2.5","+0.98","10","15.7","15.68","402","47.7","24.3","","","有","","","","電子零組件業","梁茂生","梁又文"
"274","00726B","國泰新興投等債","櫃","01/13","33.91","+0.03","+0.09","","","118","400","8","7.93","","","","","","","債券ETF","李偉正","張雍川"
"275",="6414","樺漢","市","01/13","288.5","-5","-1.7","10","13.8","13.75","397","26.5","11.8","有","","有","","","","電腦及週邊設備業","朱復銓","蔡能吉"
"276",="3715","定穎投控","市","01/13","137.5","-7","-4.84","10","27.8","28.36","390","3.4","3.39","","","有","","","","電子零組件業","黃銘宏","劉國瑾"
"277",="6670","復盛應用","市","01/13","279","+7","+2.57","10","13.9","13.94","389","15.3","7.07","","","有","","","","運動休閒","李亮箴","江慶生"
"278",="2352","佳世達","市","01/13","24.6","+0.1","+0.41","10","158","158","389","41.7","29.5","有","","有","有","","","電腦及週邊設備業","陳其宏","黃漢州"
"279",="4766","南寶","市","01/13","321","+0.5","+0.16","10","12.1","12.06","387","62.3","7.13","","","有","","","","化學工業","吳政賢","許明現"
"280","00764B","群益25年美債","櫃","01/13","28.48","+0.08","+0.28","","","135.4","385","7.1","7.06","","","","","","","債券ETF","賴政昇","陳明輝"
"281",="1785","光洋科","櫃","01/13","64.6","+1.1","+1.73","10","59.6","59.6","385","47.4","21","","","","有","","","其他電子業","黄啓峰","黄啓峰"
"282",="4979","華星光","櫃","01/13","273","-17.5","-6.02","10","14.1","14.08","384","24.2","14.1","","","有","有","","","通信網路業","簡惠敏","林大琮(代理)"
"283",="3019","亞光","市","01/13","137","-3.5","-2.49","10","27.9","27.92","383","45.3","25.2","有","","有","","","","光電業","賴以仁","林泰朗"
"284","2881A","富邦特","市","01/13","63.3","0","0","","","60","380","","9.62","","","","","","","金控業","",""
"285",="5234","達興材料","市","01/13","369","+13","+3.65","10","10.3","10.27","379","19.5","13.5","","","有","","","","光電業","林正一","郭宗鑫"
"286",="2498","宏達電","市","01/13","45.05","-1.2","-2.59","10","83.6","83.52","376","28.7","23.8","有","有","有","","","","通信網路業","王雪紅","王雪紅"
"287",="6592","和潤企業","市","01/13","60.2","+0.1","+0.17","10","72.3","62.32","375","26.6","6.1","","","","有","","有","其他業","陳建州","林彥良"
"288",="4915","致伸","市","01/13","79.6","-0.4","-0.5","10","47.1","47.11","375","19.8","13.3","","","有","","","","電子零組件業","潘永中","潘永中"
"289",="3596","智易","市","01/13","170","-7","-3.95","10","22","22.04","375","22.7","16.8","","","有","有","","","通信網路業","陳瑞聰","曾釗鵬"
"290",="2015","豐興","市","01/13","63.7","+0.1","+0.16","10","58.2","58.16","370","57","33.6","","","","","","","鋼鐵工業","林大鈞","林永源"
"291",="00830","國泰費城半導體","市","01/13","62.55","+0.8","+1.3","","","59.05","369","6.7","6.7","","","有","","","","國外成分股ETF","李偉正","張雍川"
"292","00785B","富邦金融投等債","櫃","01/13","36.22","+0.03","+0.08","","","101.7","368","6.8","6.8","","","","","","","債券ETF","黃昭棠","呂其倫"
"293",="7722","LINEPAY","市","01/13","540","-8","-1.46","10","6.8","6.8","367","10.9","1.11","","","有","","","","數位雲端","丁雄注","丁雄注"
"294",="00882","中信中國高股息","市","01/13","15.59","+0.13","+0.84","","","235.3","367","5","4.94","","","有","","","","國外成分股ETF","陳金榮","陳正華"
"295","00754B","群益AAA-AA公司債","櫃","01/13","34.61","+0.09","+0.26","","","105.8","366","7.2","7.23","","","","","","","債券ETF","賴政昇","陳明輝"
"296",="2850","新產","市","01/13","115.5","-0.5","-0.43","10","31.6","31.6","365","62.7","25.6","","","","","","","保險業","吳昕紘","何英蘭"
"297",="2923","鼎固-KY","市","01/13","20.95","+1.1","+5.54","10","174","174","365","18.1","13.1","","","","","","","建材營造業","張洪本","張能耀"
"298",="2548","華固","市","01/13","114","-2","-1.72","10","32","31.97","364","36.8","25.5","有","","有","有","","","建材營造業","鍾榮昌","洪嘉昇"
"299",="6187","萬潤","櫃","01/13","375","-5","-1.32","10","9.7","9.71","364","29.6","23.3","","","有","","","","半導體業","盧鏡來","歐承恩"
"300",="3450","聯鈞","市","01/13","249.5","-7.5","-2.92","10","14.6","14.57","363","25.3","19.8","","","有","","","","半導體業","鄭祝良","宋天增"
